FCode,FName,F_category,servings,Kcal,Kcal_per_100
D000007,닭갈비,육류구이,400.0,595.61,148.902
D000009,닭꼬치,육류구이,70.0,176.723,252.461
D000010,더덕구이,채소류구이,100.0,184.0,184.0
D000011,도미구이,어패류구이,250.0,397.0,158.8
D000015,병어구이,어패류구이,250.0,488.0,195.2
D000020,소양념갈비구이,육류구이,300.0,989.15,329.717
D000022,양념장어구이,어패류구이,150.0,433.352,288.901
D000023,임연수구이,어패류구이,250.0,494.0,197.6
D000025,햄버그스테이크,육류구이,200.0,457.697,228.848
D000026,황태구이,어패류구이,200.0,437.57,218.785
D000027,훈제오리,육류구이,250.0,797.14,318.856
D000030,굴국밥,어패류국.탕,650.0,683.0,105.077
D000032,김치국,채소류국.탕,450.0,89.0,19.778
D000036,떡만둣국,기타 국 및 탕류,700.0,624.915,89.274
D000037,만둣국,기타 국 및 탕류,700.0,434.05,62.007
D000038,맑은감자국,채소류국.탕,700.0,221.0,31.571
D000040,무된장국,채소류국.탕,450.0,104.0,23.111
D000041,미소된장국,채소류국.탕,150.0,38.0,25.333
D000044,바지락조개국,어패류국.탕,550.0,157.0,28.545
D000046,뼈다귀해장국,육류국.탕,1000.0,714.0,71.4
D000047,선지해장국,육류국.탕,1000.0,312.0,31.2
D000049,소고기무국,육류국.탕,400.0,123.0,30.75
D000050,소고기미역국,육류국.탕,650.0,151.0,23.231
D000052,순대국,육류국.탕,800.0,540.298,67.537
D000054,시래기된장국,채소류국.탕,450.0,99.0,22.0
D000062,우거지해장국,채소류국.탕,600.0,154.38,25.73
D000063,우렁된장국,어패류국.탕,500.0,245.0,49.0
D000064,탕국,어패류국.탕,250.0,92.152,36.861
D000066,홍합미역국,어패류국.탕,650.0,167.0,25.692
D000067,황태해장국,어패류국.탕,600.0,181.7,30.283
D000068,고추잡채,기타 볶음류,200.0,256.769,128.384
D000070,난자완스,육류볶음,200.0,346.249,173.124
D000072,라조기,육류튀김,200.0,398.993,199.497
D000075,생선물회,회류,800.0,577.97,72.246
D000076,소고기샤브샤브,육류찌개.전골,600.0,263.75,43.958
D000085,해파리냉채,어패류무침,150.0,91.0,60.667
D000087,고들빼기,김치,50.0,55.525,111.05
D000097,열무얼갈이김치,김치,50.0,17.684,35.368
D000105,미나리나물,나물.숙채류,50.0,29.534,59.068
D000109,취나물,나물.숙채류,50.0,74.1,148.2
D000110,콩나물,나물.숙채류,50.0,25.344,50.688
D000112,경단(깨),떡류,100.0,319.466,319.466
D000113,경단(콩),떡류,100.0,314.324,314.324
D000114,기피편,떡류,100.0,219.967,219.967
D000116,녹두시루떡,떡류,100.0,246.07,246.07
D000117,메밀전병,곡류 및 서류,100.0,167.827,167.827
D000119,무지개떡,떡류,100.0,228.974,228.974
D000121,송편(깨),떡류,100.0,224.146,224.146
D000122,송편(콩),떡류,100.0,194.334,194.334
D000123,수수부꾸미,곡류 및 서류,100.0,247.892,247.892
D000124,수수팥떡,떡류,100.0,204.241,204.241
D000125,시루떡,떡류,100.0,217.481,217.481
D000126,쑥떡,떡류,100.0,248.635,248.635
D000129,절편,떡류,100.0,192.886,192.886
D000131,찹쌀떡,떡류,100.0,276.866,276.866
D000136,간자장,중식면류,650.0,824.539,126.852
D000137,굴짬뽕,중식면류,900.0,680.672,75.63
D000138,기스면,중식면류,1000.0,606.931,60.693
D000139,김치라면,라면류,650.0,552.0,84.923
D000140,김치우동,중식면류,800.0,500.177,62.522
D000141,냉김치말이국수,국수류,600.0,302.53,50.422
D000142,닭칼국수,국수류,900.0,663.0,73.667
D000143,둘깨칼국수,국수류,600.0,457.88,76.313
D000152,삼선우동,중식면류,1000.0,691.656,69.166
D000153,삼선자장면,중식면류,700.0,803.898,114.843
D000154,삼선짬뽕,중식면류,900.0,662.366,73.596
D000156,쌀국수,국수류,600.0,320.32,53.387
D000157,열무김치국수,국수류,800.0,431.0,53.875
D000158,열무냉면,중식면류,800.0,525.492,65.686
D000159,오일소스스파게티,스파게티류,400.0,646.736,161.684
D000161,우동(일식),중식면류,700.0,421.514,60.216
D000162,우동(중식),중식면류,1000.0,648.471,64.847
D000163,울면,중식면류,1000.0,728.857,72.886
D000164,자장면,중식면류,650.0,796.503,122.539
D000167,짬뽕라면,라면류,750.0,689.0,91.867
D000169,치즈라면,라면류,600.0,595.0,99.167
D000171,크림소스스파게티,스파게티류,400.0,837.57,209.392
D000172,토마토소스스파게티,스파게티류,500.0,642.583,128.517
D000173,해물칼국수,국수류,900.0,628.262,69.807
D000174,해물크림소스스파게티,스파게티류,500.0,917.569,183.514
D000175,해물토마토소스스파게티,스파게티류,500.0,584.438,116.888
D000178,골뱅이무침,어패류무침,100.0,108.792,108.792
D000180,노각무침,나물.채소류무침,150.0,84.0,56.0
D000181,단무지무침,나물.채소류무침,50.0,20.0,40.0
D000182,달래나물무침,나물.채소류무침,150.0,136.0,90.667
D000183,더덕무침,나물.채소류무침,150.0,216.0,144.0
D000185,도토리묵,기타,100.0,45.598,45.598
D000195,쑥갓나물무침,나물.채소류무침,150.0,96.0,64.0
D000198,우거지나물무침,나물.채소류무침,150.0,129.0,86.0
D000200,쥐치채,어패류무침,20.0,55.917,279.585
D000201,청포묵무침,기타 생채.무침류,250.0,149.0,59.6
D000202,탕평채,기타 생채.무침류,100.0,97.496,97.496
D000205,홍어무침,어패류무침,200.0,198.937,99.468
D000206,고추장불고기 삼각김밥,김밥(초밥)류,100.0,165.289,165.289
D000212,농어초밥,김밥(초밥)류,250.0,396.743,158.697
D000214,류산슬덮밥,덮밥류,550.0,574.992,104.544
D000216,멸치주먹밥,김밥(초밥)류,150.0,312.0,208.0
D000218,문어초밥,김밥(초밥)류,250.0,392.227,156.891
D000223,삼선볶음밥,볶음밥류,400.0,686.108,171.527
D000225,새우초밥,김밥(초밥)류,250.0,387.671,155.068
D000226,새우튀김롤,김밥(초밥)류,300.0,606.504,202.168
D000227,샐러드김밥,김밥(초밥)류,250.0,405.948,162.379
D000228,생선초밥(광어),김밥(초밥)류,300.0,453.777,151.259
D000229,생선초밥(모듬),김밥(초밥)류,300.0,461.966,153.989
D000230,소고기국밥,기타 밥류,700.0,330.53,47.219
D000231,소고기김밥,김밥(초밥)류,250.0,400.609,160.244
D000232,송이덮밥,덮밥류,600.0,581.806,96.968
D000233,숯불갈비 삼각김밥,김밥(초밥)류,100.0,161.243,161.243
D000236,연어롤,김밥(초밥)류,300.0,510.191,170.064
D000237,연어초밥,김밥(초밥)류,250.0,447.318,178.927
D000238,오곡밥,쌀밥.잡곡밥류,250.0,388.816,155.526
D000243,자장밥,덮밥류,500.0,741.66,148.332
D000245,잡탕밥,덮밥류,750.0,777.439,103.659
D000246,장어덮밥,덮밥류,400.0,716.541,179.135
